Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73
Other,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
Other,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63
X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61
Other,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6
PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79
X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67
X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47
PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32
PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84
Other,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66
PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63
Other,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61
DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13
X360,2007,Shooter,Other,7.97,2.81,0.13,1.21,12.12
Other,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77
Other,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68
PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35
Other,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01
PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
Other,2011,Platform,Nintendo,4.89,3,2.14,0.78,10.81
PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7
PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6
Other,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5
GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3
X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25
Wii,2011,Misc,Ubisoft,5.95,3.11,0,1.06,10.12
Other,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9
Other,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
X360,2010,Shooter,Other,7.04,1.95,0.08,0.79,9.86
PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
X360,2012,Shooter,Other,6.65,2.28,0.04,0.74,9.71
PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44
PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36
X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31
Other,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
X360,2013,Misc,Other,5.7,2.65,0.02,0.81,9.18
Other,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91
X360,2011,Role-Playing,Other,5.05,2.79,0.1,0.85,8.79
Other,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
Other,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57
XB,2004,Shooter,Other,6.82,1.53,0.05,0.08,8.49
Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38
Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27
PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16
Other,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07
PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01
Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99
Other,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98
PS,1999,Role-Playing,Other,2.28,1.72,3.63,0.23,7.86
Other,1982,Puzzle,Other,7.28,0.45,0,0.08,7.81
DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72
PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69
Other,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66
Other,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
Other,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59
PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
Other,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55
Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51
Other,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
Other,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39
X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38
X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32
PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2
PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17
Other,2015,Role-Playing,Other,2.53,3.27,0.24,1.13,7.16
PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15
Other,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14
PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
Other,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09
Other,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
Other,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76
X360,2008,Shooter,Other,4.15,1.9,0.06,0.64,6.75
PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74
Wii,2010,Sports,Other,3.45,2.59,0,0.66,6.71
PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68
PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66
PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65
DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62
Other,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49
PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47
PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45
Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44
XB,2001,Shooter,Other,4.98,1.3,0.08,0.07,6.43
PS3,2011,Role-Playing,Other,2.55,2.6,0.25,1,6.41
GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
Other,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
X360,2009,Shooter,Other,4.34,1.34,0.06,0.61,6.34
X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32
Other,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
Other,1992,Fighting,Other,2.47,0.83,2.87,0.12,6.3
PC,2004,Role-Playing,Activision,0.08,6.21,0,0,6.29
PS,1999,Action,Other,3.11,2.8,0.02,0.33,6.27
X360,2011,Shooter,Other,4.05,1.59,0.07,0.5,6.21
X360,2010,Sports,Other,3.92,1.73,0.03,0.51,6.19
X360,2006,Shooter,Other,3.54,1.88,0.07,0.6,6.09
Other,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08
PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Other,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99
PS2,2006,Role-Playing,Other,1.88,0,2.33,1.74,5.95
PS3,2013,Action,Other,2.41,2.18,0.28,0.99,5.87
PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82
PS,1998,Action,Other,1.88,1.47,2.02,0.45,5.82
DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78
PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
Other,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64
Wii,2007,Action,Other,3.57,1.55,0,0.51,5.64
DS,2006,Simulation,Other,3.07,1.91,0.07,0.57,5.63
Other,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
Other,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54
X360,2009,Racing,Other,2.99,1.9,0.1,0.5,5.49
GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
PSP,2008,Role-Playing,Other,0.47,0.55,4.13,0.34,5.48
PS3,2011,Action,Other,2.71,1.85,0.11,0.81,5.48
Other,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48
GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
Other,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
PS2,2001,Platform,Other,2.07,2.29,0.24,0.82,5.42
PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39
Other,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38
Other,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
PS3,2009,Role-Playing,Other,1.74,1.21,1.87,0.51,5.33
Other,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
PS,2000,Role-Playing,Other,1.62,0.77,2.78,0.14,5.3
X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29
PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
Other,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
Other,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27
PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0,0.87,5.26
X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26
PS,1997,Action,Other,2.3,2.46,0.2,0.28,5.24
PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
Other,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23
Other,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22
PS2,2004,Role-Playing,Other,0.65,0.75,3.61,0.2,5.21
GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19
Other,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16
Other,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
PC,2012,Role-Playing,Activision,2.44,2.16,0,0.54,5.14
PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
Other,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
PC,1996,Simulation,Other,3.22,1.69,0,0.2,5.12
PS2,2006,Misc,Other,3.81,0.63,0,0.68,5.12
X360,2010,Role-Playing,Other,3.59,1.08,0.05,0.38,5.1
DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09
PS3,2009,Action,Other,1.96,1.41,1.08,0.64,5.09
DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08
Other,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07
PS,1996,Action,Other,2.05,1.16,1.11,0.73,5.05
PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03
PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
PS,1999,Strategy,Other,2.79,1.89,0,0.33,5.01
PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98
DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93
X360,2008,Role-Playing,Other,3.4,0.99,0.09,0.45,4.93
PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92
PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
Other,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
PSP,2010,Role-Playing,Other,0,0,4.87,0,4.87
Other,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87
Other,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
PC,2010,Strategy,Activision,2.57,1.68,0,0.58,4.84
PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82
PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8
PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
DS,2007,Action,Other,2.83,1.48,0,0.45,4.76
PS,2000,Action,Other,2.36,2.1,0.02,0.25,4.73
X360,2011,Action,Other,2.99,1.27,0.04,0.42,4.73
Other,2014,Action,Sony Computer Entertainment,1.88,2,0.07,0.77,4.71
PS2,2003,Racing,Other,1.73,2.19,0,0.79,4.7
PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
PS,1996,Action,Other,2.29,1.97,0.13,0.24,4.63
Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62
Other,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62
Other,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
Other,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
Wii,2007,Misc,Activision,3.04,1.11,0,0.43,4.6
Other,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59
X360,2011,Racing,Other,2.08,1.97,0.06,0.46,4.57
Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.53
PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53
Other,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
Other,2015,Shooter,Other,2.78,1.27,0.03,0.41,4.48
PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
PS,2000,Role-Playing,Other,0.2,0.14,4.1,0.02,4.47
Other,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46
PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
Other,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43
Other,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42
PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38
Other,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36
PS3,2014,Shooter,Activision,1.56,1.93,0.19,0.68,4.36
PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34
Other,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
PS2,2005,Role-Playing,Other,2.2,0.58,1.38,0.17,4.33
Other,2011,Action,Nintendo,2.09,1.31,0.62,0.31,4.33
Other,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32
Other,2014,Misc,Other,1.48,2.02,0.14,0.68,4.32
Other,1980,Shooter,Other,4,0.26,0,0.05,4.31
X360,2014,Shooter,Activision,2.77,1.11,0,0.4,4.29
PS3,2014,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28
X360,2008,Role-Playing,Other,2.51,1.24,0.11,0.41,4.27
GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
PS3,2009,Action,Other,2.24,1.31,0.07,0.61,4.23
PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22
Other,2015,Role-Playing,Other,2.51,1.32,0.01,0.38,4.22
X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22
PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0,0.75,4.21
PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21
PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19
X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
X360,2011,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18
Other,1989,Action,Other,3.38,0.44,0.31,0.04,4.17
PS3,2009,Fighting,Other,2.03,1.04,0.58,0.52,4.16
Other,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
PS,1997,Action,Other,3.79,0.27,0,0.11,4.16
PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
PC,1997,Shooter,Other,4.03,0,0.09,0,4.12
Other,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
Other,1992,Fighting,Other,1.42,0.51,2.1,0.07,4.1
PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09
Other,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08
PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
X360,2010,Role-Playing,Other,2.66,1.03,0.04,0.33,4.05
X360,2007,Racing,Other,2.35,1.27,0.03,0.41,4.05
Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05
Other,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05
PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
Other,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04
Other,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
Other,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
X360,2009,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97
Other,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97
Other,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96
Other,2015,Action,Other,1.53,1.69,0.1,0.64,3.95
Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95
PS3,2008,Role-Playing,Other,2.15,1.13,0.07,0.59,3.94
DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94
Other,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
Wii,2009,Sports,Electronic Arts,2.09,1.35,0.06,0.4,3.9
PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
Other,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89
PC,2011,Role-Playing,Other,1.16,2.12,0,0.6,3.88
Other,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88
PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
Other,1988,Role-Playing,Other,0.1,0,3.77,0,3.87
PS3,2006,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87
Other,2011,Simulation,Nintendo,1.44,1.41,0.73,0.27,3.85
PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
PS3,2010,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84
PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
Other,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
Other,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83
DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83
Other,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8
Wii,2007,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79
PS,1996,Action,Other,1.82,1.24,0.47,0.25,3.77
DS,2009,Role-Playing,Nintendo,2.23,0.47,0.81,0.26,3.77
X360,2008,Action,Activision,2.4,1.01,0,0.36,3.76
PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76
PSP,2007,Platform,Sony Computer Entertainment,1.4,1.39,0.1,0.86,3.74
PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
Wii,2011,Sports,Sega,1.12,1.87,0.27,0.45,3.72
PS,1999,Action,Other,1.3,0.77,1.54,0.11,3.72
Wii,2007,Platform,Nintendo,1.95,0.86,0.59,0.31,3.71
PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71
PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71
PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
Other,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
DS,2009,Misc,Nintendo,0,0,3.67,0,3.67
PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Other,2015,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66
DS,2007,Simulation,Electronic Arts,1.58,1.59,0.08,0.41,3.66
PSP,2005,Racing,Take-Two Interactive,1.65,1.21,0,0.79,3.65
Other,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
Other,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
PS2,2005,Action,Other,2.08,0.83,0.46,0.25,3.62
Wii,2008,Misc,Activision,2.32,0.96,0,0.34,3.62
PS3,2009,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62
PS2,2004,Shooter,Other,1.93,1.22,0.03,0.44,3.61
PC,1994,Shooter,Other,2.05,1.4,0,0.16,3.61
PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
Other,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
Other,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59
PS2,2005,Shooter,Other,2.18,1.02,0.03,0.37,3.59
Wii,2013,Misc,Ubisoft,1.88,1.39,0,0.31,3.59
DS,2007,Simulation,Other,1.6,1.49,0.1,0.39,3.58
PS,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
PS,1997,Platform,Other,1.57,1.79,0,0.2,3.56
PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
PS,1997,Action,Other,1.66,1.58,0.12,0.18,3.54
PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
PS2,2005,Action,Other,1.98,1.14,0.01,0.41,3.53
PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52
X360,2010,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52
PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
X360,2008,Shooter,Electronic Arts,2.66,0.49,0.05,0.3,3.51
Other,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
Other,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5
Other,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
X360,2009,Action,Other,2.11,0.93,0.12,0.34,3.5
